,,Checklist of the Birds of Wisconsin 2025 - Wisconsin Society for Ornithology,,,,
,Group,Common Name,Scientific Name,Abundance,Records,Review List
,"Ducks, Geese, and Swans","Ducks, Geese, and Swans",,,,
1,,Black-bellied Whistling-Duck,Dendrocygna autumnalis,casual,,Review
2,,Fulvous Whistling-Duck,Dendrocygna bicolor,accidental,2 records,Review
3,,Snow Goose,Anser caerulescens,regular,,
4,,Ross's Goose,Anser rossii,regular,,
5,,Greater White-fronted Goose,Anser albifrons,regular,,
6,,Brant,Branta bernicla,accidental,> 10 records,Review
7,,Cackling Goose,Branta hutchinsii,regular,,
8,,Canada Goose,Branta canadensis,regular,,
9,,Mute Swan,Cygnus olor,regular,,
10,,Trumpeter Swan,Cygnus buccinator,regular,,
11,,Tundra Swan,Cygnus columbianus,regular,,
12,,Wood Duck,Aix sponsa,regular,,
13,,Garganey,Spatula querquedula,accidental,2 records,Review
14,,Blue-winged Teal,Spatula discors,regular,,
15,,Cinnamon Teal,Spatula cyanoptera,casual,,
16,,Northern Shoveler,Spatula clypeata,regular,,
17,,Gadwall,Mareca strepera,regular,,
18,,Eurasian Wigeon,Mareca penelope,casual,,
19,,American Wigeon,Mareca americana,regular,,
20,,Mallard,Anas platyrhynchos,regular,,
21,,American Black Duck,Anas rubripes,regular,,
22,,Northern Pintail,Anas acuta,regular,,
23,,Green-winged Teal,Anas crecca,regular,,
24,,Canvasback,Aythya valisineria,regular,,
25,,Redhead,Aythya americana,regular,,
26,,Ring-necked Duck,Aythya collaris,regular,,
27,,Tufted Duck,Aythya fuligula,accidental,4 records,Review
28,,Greater Scaup,Aythya marila,regular,,
29,,Lesser Scaup,Aythya affinis,regular,,
30,,King Eider,Somateria spectabilis,casual,,Review
31,,Common Eider,Somateria mollissima,accidental,8 records,Review
32,,Harlequin Duck,Histrionicus histrionicus,rare,,
33,,Surf Scoter,Melanitta perspicillata,regular,,
34,,White-winged Scoter,Melanitta deglandi,regular,,
35,,Black Scoter,Melanitta americana,regular,,
36,,Long-tailed Duck,Clangula hyemalis,regular,,
37,,Bufflehead,Bucephala albeola,regular,,
38,,Common Goldeneye,Bucephala clangula,regular,,
39,,Barrow's Goldeneye,Bucephala islandica,casual,,
40,,Smew,Mergellus albellus,accidental,1 record,Review
41,,Hooded Merganser,Lophodytes cucullatus,regular,,
42,,Common Merganser,Mergus merganser,regular,,
43,,Red-breasted Merganser,Mergus serrator,regular,,
44,,Masked Duck,Nomonyx dominicus,accidental,1 record,Review
45,,Ruddy Duck,Oxyura jamaicensis,regular,,
,,,,,,
